time,step,spread,year_file,lead_hours
2014-05-18,6 days,216.34375,/mnt/metdata/W25-2348/glofas/processed_spread/glofas_spread_2014.nc,144.0
2020-08-21,5 days,188.22656,/mnt/metdata/W25-2348/glofas/processed_spread/glofas_spread_2020.nc,120.0
2014-05-18,7 days,187.03125,/mnt/metdata/W25-2348/glofas/processed_spread/glofas_spread_2014.nc,168.0
2015-08-22,3 days,177.84375,/mnt/metdata/W25-2348/glofas/processed_spread/glofas_spread_2015.nc,72.0
2014-08-03,6 days,172.51562,/mnt/metdata/W25-2348/glofas/processed_spread/glofas_spread_2014.nc,144.0
2017-11-18,6 days,170.21094,/mnt/metdata/W25-2348/glofas/processed_spread/glofas_spread_2017.nc,144.0
2023-10-14,7 days,160.73438,/mnt/metdata/W25-2348/glofas/processed_spread/glofas_spread_2023.nc,168.0
2020-10-12,9 days,159.51562,/mnt/metdata/W25-2348/glofas/processed_spread/glofas_spread_2020.nc,216.0
2020-08-21,6 days,158.08594,/mnt/metdata/W25-2348/glofas/processed_spread/glofas_spread_2020.nc,144.0
2015-08-22,4 days,153.51562,/mnt/metdata/W25-2348/glofas/processed_spread/glofas_spread_2015.nc,96.0
2018-02-26,9 days,152.84375,/mnt/metdata/W25-2348/glofas/processed_spread/glofas_spread_2018.nc,216.0
2017-11-18,5 days,152.15625,/mnt/metdata/W25-2348/glofas/processed_spread/glofas_spread_2017.nc,120.0
2014-08-03,7 days,145.53125,/mnt/metdata/W25-2348/glofas/processed_spread/glofas_spread_2014.nc,168.0
2015-08-28,4 days,145.34375,/mnt/metdata/W25-2348/glofas/processed_spread/glofas_spread_2015.nc,96.0
2015-12-25,6 days,139.875,/mnt/metdata/W25-2348/glofas/processed_spread/glofas_spread_2015.nc,144.0
2015-08-28,5 days,137.20312,/mnt/metdata/W25-2348/glofas/processed_spread/glofas_spread_2015.nc,120.0
2023-10-24,7 days,131.40625,/mnt/metdata/W25-2348/glofas/processed_spread/glofas_spread_2023.nc,168.0
2017-11-21,2 days,124.71094,/mnt/metdata/W25-2348/glofas/processed_spread/glofas_spread_2017.nc,48.0
2017-06-03,4 days,124.6875,/mnt/metdata/W25-2348/glofas/processed_spread/glofas_spread_2017.nc,96.0
2010-09-04,3 days,122.296875,/mnt/metdata/W25-2348/glofas/processed_spread/glofas_spread_2010.nc,72.0
2005-11-07,8 days,116.72656,/mnt/metdata/W25-2348/glofas/processed_spread/glofas_spread_2005.nc,192.0
2005-11-07,9 days,116.203125,/mnt/metdata/W25-2348/glofas/processed_spread/glofas_spread_2005.nc,216.0
2019-11-20,4 days,114.609375,/mnt/metdata/W25-2348/glofas/processed_spread/glofas_spread_2019.nc,96.0
2017-11-21,3 days,114.1875,/mnt/metdata/W25-2348/glofas/processed_spread/glofas_spread_2017.nc,72.0
2019-06-19,8 days,114.0,/mnt/metdata/W25-2348/glofas/processed_spread/glofas_spread_2019.nc,192.0
2023-10-14,8 days,113.390625,/mnt/metdata/W25-2348/glofas/processed_spread/glofas_spread_2023.nc,192.0
2017-11-20,4 days,113.25,/mnt/metdata/W25-2348/glofas/processed_spread/glofas_spread_2017.nc,96.0
2017-11-18,7 days,112.734375,/mnt/metdata/W25-2348/glofas/processed_spread/glofas_spread_2017.nc,168.0
2015-12-25,7 days,111.953125,/mnt/metdata/W25-2348/glofas/processed_spread/glofas_spread_2015.nc,168.0
2020-09-30,6 days,111.61719,/mnt/metdata/W25-2348/glofas/processed_spread/glofas_spread_2020.nc,144.0
2014-08-05,6 days,110.75,/mnt/metdata/W25-2348/glofas/processed_spread/glofas_spread_2014.nc,144.0
2015-05-01,9 days,110.59375,/mnt/metdata/W25-2348/glofas/processed_spread/glofas_spread_2015.nc,216.0
2019-10-23,5 days,110.390625,/mnt/metdata/W25-2348/glofas/processed_spread/glofas_spread_2019.nc,120.0
2017-11-20,3 days,109.52344,/mnt/metdata/W25-2348/glofas/processed_spread/glofas_spread_2017.nc,72.0
2019-10-23,4 days,109.52344,/mnt/metdata/W25-2348/glofas/processed_spread/glofas_spread_2019.nc,96.0
2010-10-28,2 days,108.90625,/mnt/metdata/W25-2348/glofas/processed_spread/glofas_spread_2010.nc,48.0
2010-10-23,8 days,108.25781,/mnt/metdata/W25-2348/glofas/processed_spread/glofas_spread_2010.nc,192.0
2019-10-28,8 days,107.66406,/mnt/metdata/W25-2348/glofas/processed_spread/glofas_spread_2019.nc,192.0
2019-06-19,9 days,106.5,/mnt/metdata/W25-2348/glofas/processed_spread/glofas_spread_2019.nc,216.0
2023-10-21,7 days,106.0625,/mnt/metdata/W25-2348/glofas/processed_spread/glofas_spread_2023.nc,168.0
2023-10-31,4 days,105.98828,/mnt/metdata/W25-2348/glofas/processed_spread/glofas_spread_2023.nc,96.0
2023-10-14,6 days,105.82422,/mnt/metdata/W25-2348/glofas/processed_spread/glofas_spread_2023.nc,144.0
2019-10-19,8 days,105.46094,/mnt/metdata/W25-2348/glofas/processed_spread/glofas_spread_2019.nc,192.0
2019-10-31,4 days,105.28125,/mnt/metdata/W25-2348/glofas/processed_spread/glofas_spread_2019.nc,96.0
2020-09-30,5 days,105.22656,/mnt/metdata/W25-2348/glofas/processed_spread/glofas_spread_2020.nc,120.0
2022-10-10,9 days,104.21875,/mnt/metdata/W25-2348/glofas/processed_spread/glofas_spread_2022.nc,216.0
2023-10-31,3 days,103.96484,/mnt/metdata/W25-2348/glofas/processed_spread/glofas_spread_2023.nc,72.0
2019-05-22,9 days,103.9375,/mnt/metdata/W25-2348/glofas/processed_spread/glofas_spread_2019.nc,216.0
2015-08-22,2 days,103.6875,/mnt/metdata/W25-2348/glofas/processed_spread/glofas_spread_2015.nc,48.0
2015-08-21,4 days,103.5625,/mnt/metdata/W25-2348/glofas/processed_spread/glofas_spread_2015.nc,96.0
